Country Code,TZ Identifier,STD,DST,Time Zone Standard,Time Zone Daylight
"TH,?CX,?KH,?LA,?VN",Asia/Bangkok,+07:00,+07:00,7,
RU,Asia/Barnaul,+07:00,+07:00,7,
LB,Asia/Beirut,+02:00,+03:00,EET,EEST
KG,Asia/Bishkek,+06:00,+06:00,6,
BN,Asia/Brunei,+08:00,+08:00,8,
IN,Asia/Calcutta,+05:30,+05:30,IST,
RU,Asia/Chita,+09:00,+09:00,9,
MN,Asia/Choibalsan,+08:00,+08:00,8,
CN,Asia/Chongqing,+08:00,+08:00,CST,
CN,Asia/Chungking,+08:00,+08:00,CST,
LK,Asia/Colombo,+05:30,+05:30,530,
BD,Asia/Dacca,+06:00,+06:00,6,
SY,Asia/Damascus,+03:00,+03:00,3,
BD,Asia/Dhaka,+06:00,+06:00,6,
TL,Asia/Dili,+09:00,+09:00,9,
"AE,?OM,?RE,?SC,?TF",Asia/Dubai,+04:00,+04:00,4,
TJ,Asia/Dushanbe,+05:00,+05:00,5,
CY,Asia/Famagusta,+02:00,+03:00,EET,EEST
PS,Asia/Gaza,+02:00,+03:00,EET,EEST
CN,Asia/Harbin,+08:00,+08:00,CST,
PS,Asia/Hebron,+02:00,+03:00,EET,EEST
VN,Asia/Ho_Chi_Minh,+07:00,+07:00,7,
HK,Asia/Hong_Kong,+08:00,+08:00,HKT,
MN,Asia/Hovd,+07:00,+07:00,7,
RU,Asia/Irkutsk,+08:00,+08:00,8,
TR,Asia/Istanbul,+03:00,+03:00,3,
ID,Asia/Jakarta,+07:00,+07:00,WIB,
ID,Asia/Jayapura,+09:00,+09:00,WIT,
IL,Asia/Jerusalem,+02:00,+03:00,IST,IDT
AF,Asia/Kabul,+04:30,+04:30,430,
RU,Asia/Kamchatka,+12:00,+12:00,12,
PK,Asia/Karachi,+05:00,+05:00,PKT,
CN,Asia/Kashgar,+06:00,+06:00,6,
NP,Asia/Kathmandu,+05:45,+05:45,545,
NP,Asia/Katmandu,+05:45,+05:45,545,
RU,Asia/Khandyga,+09:00,+09:00,9,
IN,Asia/Kolkata,+05:30,+05:30,IST,
RU,Asia/Krasnoyarsk,+07:00,+07:00,7,
MY,Asia/Kuala_Lumpur,+08:00,+08:00,8,
"MY,?BN",Asia/Kuching,+08:00,+08:00,8,
KW,Asia/Kuwait,+03:00,+03:00,3,
MO,Asia/Macao,+08:00,+08:00,CST,
MO,Asia/Macau,+08:00,+08:00,CST,
RU,Asia/Magadan,+11:00,+11:00,11,
ID,Asia/Makassar,+08:00,+08:00,WITA,
PH,Asia/Manila,+08:00,+08:00,PHT,
OM,Asia/Muscat,+04:00,+04:00,4,
CY,Asia/Nicosia,+02:00,+03:00,EET,EEST
RU,Asia/Novokuznetsk,+07:00,+07:00,7,
RU,Asia/Novosibirsk,+07:00,+07:00,7,
RU,Asia/Omsk,+06:00,+06:00,6,
KZ,Asia/Oral,+05:00,+05:00,5,
KH,Asia/Phnom_Penh,+07:00,+07:00,7,
ID,Asia/Pontianak,+07:00,+07:00,WIB,
KP,Asia/Pyongyang,+09:00,+09:00,KST,
"QA,?BH",Asia/Qatar,+03:00,+03:00,3,
KZ,Asia/Qostanay,+06:00,+06:00,6,
KZ,Asia/Qyzylorda,+05:00,+05:00,5,
MM,Asia/Rangoon,+06:30,+06:30,630,
"SA,?AQ,?KW,?YE",Asia/Riyadh,+03:00,+03:00,3,
VN,Asia/Saigon,+07:00,+07:00,7,
RU,Asia/Sakhalin,+11:00,+11:00,11,
UZ,Asia/Samarkand,+05:00,+05:00,5,
KR,Asia/Seoul,+09:00,+09:00,KST,
CN,Asia/Shanghai,+08:00,+08:00,CST,
"SG,?MY",Asia/Singapore,+08:00,+08:00,8,
RU,Asia/Srednekolymsk,+11:00,+11:00,11,
TW,Asia/Taipei,+08:00,+08:00,CST,
UZ,Asia/Tashkent,+05:00,+05:00,5,
GE,Asia/Tbilisi,+04:00,+04:00,4,
IR,Asia/Tehran,+03:30,+03:30,330,
IL,Asia/Tel_Aviv,+02:00,+03:00,IST,IDT
BT,Asia/Thimbu,+06:00,+06:00,6,
BT,Asia/Thimphu,+06:00,+06:00,6,
JP,Asia/Tokyo,+09:00,+09:00,JST,
RU,Asia/Tomsk,+07:00,+07:00,7,
ID,Asia/Ujung_Pandang,+08:00,+08:00,WITA,
MN,Asia/Ulaanbaatar,+08:00,+08:00,8,
MN,Asia/Ulan_Bator,+08:00,+08:00,8,
"CN,?AQ",Asia/Urumqi,+06:00,+06:00,6,
RU,Asia/Ust-Nera,+10:00,+10:00,10,
LA,Asia/Vientiane,+07:00,+07:00,7,
RU,Asia/Vladivostok,+10:00,+10:00,10,
RU,Asia/Yakutsk,+09:00,+09:00,9,
"MM,?CC",Asia/Yangon,+06:30,+06:30,630,
RU,Asia/Yekaterinburg,+05:00,+05:00,5,
AM,Asia/Yerevan,+04:00,+04:00,4,
PT,Atlantic/Azores,?01:00,+00:00,-1,0
BM,Atlantic/Bermuda,?04:00,?03:00,AST,ADT
ES,Atlantic/Canary,+00:00,+01:00,WET,WEST
CV,Atlantic/Cape_Verde,?01:00,?01:00,-1,
FO,Atlantic/Faeroe,+00:00,+01:00,WET,WEST
FO,Atlantic/Faroe,+00:00,+01:00,WET,WEST
SJ,Atlantic/Jan_Mayen,+01:00,+02:00,CET,CEST
PT,Atlantic/Madeira,+00:00,+01:00,WET,WEST
IS,Atlantic/Reykjavik,+00:00,+00:00,GMT,
GS,Atlantic/South_Georgia,?02:00,?02:00,-2,
SH,Atlantic/St_Helena,+00:00,+00:00,GMT,
FK,Atlantic/Stanley,?03:00,?03:00,-3,
AU,Australia/ACT,+10:00,+11:00,AEST,AEDT
AU,Australia/Adelaide,+09:30,+10:30,ACST,ACDT
AU,Australia/Brisbane,+10:00,+10:00,AEST,
AU,Australia/Broken_Hill,+09:30,+10:30,ACST,ACDT
AU,Australia/Canberra,+10:00,+11:00,AEST,AEDT
AU,Australia/Currie,+10:00,+11:00,AEST,AEDT
AU,Australia/Darwin,+09:30,+09:30,ACST,
AU,Australia/Eucla,+08:45,+08:45,845,
AU,Australia/Hobart,+10:00,+11:00,AEST,AEDT
AU,Australia/LHI,+10:30,+11:00,1030,11
AU,Australia/Lindeman,+10:00,+10:00,AEST,
AU,Australia/Lord_Howe,+10:30,+11:00,1030,11
AU,Australia/Melbourne,+10:00,+11:00,AEST,AEDT
AU,Australia/North,+09:30,+09:30,ACST,
AU,Australia/NSW,+10:00,+11:00,AEST,AEDT
AU,Australia/Perth,+08:00,+08:00,AWST,
AU,Australia/Queensland,+10:00,+10:00,AEST,
AU,Australia/South,+09:30,+10:30,ACST,ACDT
AU,Australia/Sydney,+10:00,+11:00,AEST,AEDT
AU,Australia/Tasmania,+10:00,+11:00,AEST,AEDT
AU,Australia/Victoria,+10:00,+11:00,AEST,AEDT
AU,Australia/West,+08:00,+08:00,AWST,
AU,Australia/Yancowinna,+09:30,+10:30,ACST,ACDT
BR,Brazil/Acre,?05:00,?05:00,-5,
BR,Brazil/DeNoronha,?02:00,?02:00,-2,
BR,Brazil/East,?03:00,?03:00,-3,
BR,Brazil/West,?04:00,?04:00,-4,
