Abbreviation,Time zone name,Location,Display Name,Offset,UTC Time,DST
FJST,Fiji Summer Time,Pacific,FJST (Fiji Summer Time) - Pacific,UTC +13,13:00,TRUE
FJT,Fiji Time,Pacific,FJT (Fiji Time) - Pacific,UTC +12,12:00,FALSE
FKST,Falkland Islands Summer Time,South America,FKST (Falkland Islands Summer Time) - South America,UTC -3,-3:00,TRUE
FKT,Falkland Island Time,South America,FKT (Falkland Island Time) - South America,UTC -4,-4:00,FALSE
FNT,Fernando de Noronha Time,South America,FNT (Fernando de Noronha Time) - South America,UTC -2,-2:00,FALSE
G,Golf Time Zone,Military,G (Golf Time Zone) - Military,UTC +7,7:00,FALSE
GALT,Galapagos Time,Pacific,GALT (Galapagos Time) - Pacific,UTC -6,-6:00,FALSE
GAMT,Gambier Time,Pacific,GAMT (Gambier Time) - Pacific,UTC -9,-9:00,FALSE
GET,Georgia Standard Time,Asia,GET (Georgia Standard Time) - Asia,UTC +4,4:00,FALSE
GFT,French Guiana Time,South America,GFT (French Guiana Time) - South America,UTC -3,-3:00,FALSE
GILT,Gilbert Island Time,Pacific,GILT (Gilbert Island Time) - Pacific,UTC +12,12:00,FALSE
GMT,Greenwich Mean Time,Europe,GMT (Greenwich Mean Time) - Europe,UTC +0,0:00,FALSE
GST,Gulf Standard Time,Asia,GST (Gulf Standard Time) - Asia,UTC +4,4:00,FALSE
GST,South Georgia Time,South America,GST (South Georgia Time) - South America,UTC -2,-2:00,FALSE
GYT,Guyana Time,South America,GYT (Guyana Time) - South America,UTC -4,-4:00,FALSE
H,Hotel Time Zone,Military,H (Hotel Time Zone) - Military,UTC +8,8:00,FALSE
HDT,Hawaii-Aleutian Daylight Time,North America,HDT (Hawaii-Aleutian Daylight Time) - North America,UTC -9,-9:00,TRUE
HKT,Hong Kong Time,Asia,HKT (Hong Kong Time) - Asia,UTC +8,8:00,FALSE
HOVST,Hovd Summer Time,Asia,HOVST (Hovd Summer Time) - Asia,UTC +8,8:00,TRUE
HOVT,Hovd Time,Asia,HOVT (Hovd Time) - Asia,UTC +7,7:00,FALSE
HST,Hawaii Standard Time,North America,HST (Hawaii Standard Time) - North America,UTC -10,-10:00,FALSE
I,India Time Zone,Military,I (India Time Zone) - Military,UTC +9,9:00,FALSE
ICT,Indochina Time,Asia,ICT (Indochina Time) - Asia,UTC +7,7:00,FALSE
IDT,Israel Daylight Time,Asia,IDT (Israel Daylight Time) - Asia,UTC +3,3:00,TRUE
IOT,Indian Chagos Time,Indian Ocean,IOT (Indian Chagos Time) - Indian Ocean,UTC +6,6:00,FALSE
IRDT,Iran Daylight Time,Asia,IRDT (Iran Daylight Time) - Asia,UTC +4:30,4:30,TRUE
IRKST,Irkutsk Summer Time,Asia,IRKST (Irkutsk Summer Time) - Asia,UTC +9,9:00,TRUE
IRKT,Irkutsk Time,Asia,IRKT (Irkutsk Time) - Asia,UTC +8,8:00,FALSE
IRST,Iran Standard Time,Asia,IRST (Iran Standard Time) - Asia,UTC +3:30,3:30,FALSE
IST,Irish Standard Time,Europe,IST (Irish Standard Time) - Europe,UTC +1,1:00,FALSE
IST,Israel Standard Time,Asia,IST (Israel Standard Time) - Asia,UTC +2,2:00,FALSE
IST,India Standard Time,Asia,IST (India Standard Time) - Asia,UTC +5:30,5:30,FALSE
JST,Japan Standard Time,Asia,JST (Japan Standard Time) - Asia,UTC +9,9:00,FALSE
K,Kilo Time Zone,Military,K (Kilo Time Zone) - Military,UTC +10,10:00,FALSE
KGT,Kyrgyzstan Time,Asia,KGT (Kyrgyzstan Time) - Asia,UTC +6,6:00,FALSE
