Windows Time Zone Name,Standard Time Zone Name,Abbreviation,Display Name,UTC Time
(UTC-11:00) Coordinated Universal Time-11,UTC-11,U,U (UTC-11) - Coordinated Universal Time-11,-11:00
(UTC-05:00) Indiana (East),US Eastern Standard Time,UEST,UEST (US Eastern Standard Time) - Indiana (East),-5:00
(UTC-07:00) Arizona,US Mountain Standard Time,UMST,UMST (US Mountain Standard Time) - Arizona,-7:00
(UTC+08:00) Ulaanbaatar,Ulaanbaatar Standard Time,UST,UST (Ulaanbaatar Standard Time) - Ulaanbaatar,8:00
(UTC-04:30) Caracas,Venezuela Standard Time,VST,VST (Venezuela Standard Time) - Caracas,-4:-30
(UTC+11:00) Vladivostok,Vladivostok Standard Time,VST,VST (Vladivostok Standard Time) - Vladivostok,11:00
(UTC+08:00) Perth,W. Australia Standard Time,WAST,WAST (W. Australia Standard Time) - Perth,8:00
(UTC+05:00) Tashkent,West Asia Standard Time,WAST,WAST (West Asia Standard Time) - Tashkent,5:00
(UTC+01:00) West Central Africa,W. Central Africa Standard Time,WCAST,WCAST (W. Central Africa Standard Time) - West Central Africa,1:00
"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",W. Europe Standard Time,WEST,"WEST (W. Europe Standard Time) - Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",1:00
"(UTC+10:00) Guam, Port Moresby",West Pacific Standard Time,WPST,"WPST (West Pacific Standard Time) - Guam, Port Moresby",10:00
(UTC+10:00) Yakutsk,Yakutsk Standard Time,YST,YST (Yakutsk Standard Time) - Yakutsk,10:00
